Bairro,Area,Valor,Dormitorios,Vagas
Azenha,53.01,385000,2,1
Azenha,40.61,265000,1,0
Azenha,100.3,330000,2,1
Azenha,80.95,297900,2,0
Bela_Vista,211,690000,3,2
Bela_Vista,122.79,670000,2,1
Bela_Vista,50,450000,1,1
Bela_Vista,116.15,7e+05,3,1
Bela_Vista,99,6e+05,3,1
Bela_Vista,332.14,980000,3,3
Bela_Vista,174.4,1050000,3,2
Bela_Vista,200,1700000,3,3
Bela_Vista,72,555000,2,2
Bela_Vista,67.54,515000,2,1
Bela_Vista,181,1500000,3,2
Bela_Vista,81.91,560000,2,1
Bela_Vista,122.37,640000,3,2
Bela_Vista,97,540000,2,1
Bela_Vista,150,1190000,3,2
Bela_Vista,333,1100000,3,2
Bela_Vista,150.37,1270000,3,3
Bela_Vista,96,670000,2,1
Bela_Vista,93.75,425000,2,1
Bela_Vista,150,7e+05,3,2
Bela_Vista,68,580000,2,2
Bela_Vista,145,1700000,3,2
Bela_Vista,54.87,470000,1,1
Bela_Vista,92,790000,2,2
Bela_Vista,109.86,9e+05,3,2
Bela_Vista,47.84,215000,1,0
Bela_Vista,93.71,380000,3,0
Bela_Vista,56,530000,1,1
Bela_Vista,75,350000,3,1
Bela_Vista,60,450000,1,1
Bela_Vista,56.89,470000,1,1
Bela_Vista,127,690000,3,1
Bela_Vista,73,478000,3,1
Bela_Vista,33.09,185000,1,0
Bela_Vista,203.02,1700000,4,3
Bela_Vista,117,1270000,3,2
Bela_Vista,107.14,530000,3,2
Bela_Vista,66,515000,2,2
Bela_Vista,83.67,530000,2,1
Bela_Vista,201.58,2100000,3,3
Bela_Vista,43.8,220000,1,0
Bela_Vista,85.29,516000,3,0
Bela_Vista,68.17,5e+05,2,2
Bela_Vista,79.55,498000,2,2
Bela_Vista,174.55,950000,3,4
Bela_Vista,74.44,819500,2,2
Bela_Vista,41.13,250000,1,1
Bela_Vista,69.17,425000,2,1
Bela_Vista,123.31,636000,3,2
Bela_Vista,120.18,830000,3,1
Bela_Vista,95.88,590000,3,2
Bela_Vista,259.91,2128000,4,3
Bela_Vista,43.75,2e+05,1,0
Bela_Vista,105.28,426000,2,1
Bela_Vista,58.86,280000,2,1
Bela_Vista,117,1175500,3,3
Bela_Vista,70.81,470000,2,2
Bela_Vista,138,1100000,4,2
Bela_Vista,93.16,670000,3,2
Bela_Vista,138,1190000,3,2
Bela_Vista,81.8,450000,2,1
Bela_Vista,109.16,560000,3,1
Bela_Vista,127,595000,3,1
Bela_Vista,71.37,302900,2,0
Bela_Vista,42.7,190000,1,0
Bela_Vista,142,1409800,2,3
Bela_Vista,101,725000,2,2
Bela_Vista,138,980000,3,3
Bela_Vista,109.16,580000,3,1
Bela_Vista,98,550000,2,1
Bela_Vista,122.95,424000,4,1
Bela_Vista,140,1300000,3,2
Bela_Vista,139.96,9e+05,2,2
Bela_Vista,107.74,583000,3,1
Bela_Vista,180,1999113,3,3
Bela_Vista,139.96,980000,4,1
Bela_Vista,120.18,850000,3,1
Bela_Vista,113.1,1105000,3,2
Bela_Vista,106.25,1100000,3,2
Bela_Vista,54.87,435000,1,1
Bela_Vista,45.67,380000,1,1
Bela_Vista,99,1124200,2,2
Bela_Vista,157.44,1598900,2,2
Bela_Vista,113.1,1200000,3,2
Bela_Vista,41.36,360000,1,0
Bela_Vista,147.08,950000,3,2
Bela_Vista,74.3,4e+05,2,1
Bela_Vista,266.51,1950000,3,0
Bela_Vista,169.85,760000,3,1
Bela_Vista,109.72,620000,3,1
Bela_Vista,63.85,540000,2,1
Bela_Vista,58.86,240000,2,0
Bela_Vista,107.14,545000,3,2
Boa_Vista,135.54,9e+05,3,1
Boa_Vista,106.37,530000,3,1
Boa_Vista,157.21,850000,3,2
Boa_Vista,77,290000,2,1
Boa_Vista,73.15,315000,3,1
Boa_Vista,135.55,850000,3,1
Boa_Vista,112.53,798000,3,2
Boa_Vista,67,460000,2,1
Boa_Vista,41.98,328589.08,1,1
Boa_Vista,76.34,426000,3,1
Boa_Vista,93.78,680000,3,3
Boa_Vista,93.78,680000,3,3
Boa_Vista,113.93,790000,3,2
Boa_Vista,107.44,598000,3,1
Boa_Vista,93.78,750000,4,1
Boa_Vista,64.29,568000,2,1
Boa_Vista,64.29,590000,2,1
Boa_Vista,64.29,660000,2,1
Boa_Vista,107.07,8e+05,3,2
Boa_Vista,76.34,480000,3,1
Boa_Vista,79.79,850000,3,2
Boa_Vista,75.38,480000,2,1
Boa_Vista,105.96,7e+05,3,3
Boa_Vista,105.73,1100000,3,2
Boa_Vista,58,375000,2,1
Boa_Vista,82.83,450000,2,1
Boa_Vista,130.45,850000,3,1
Boa_Vista,111,780000,3,2
Boa_Vista,54,340000,1,1
Boa_Vista,104.85,6e+05,3,1
Boa_Vista,75.38,598000,2,1
Boa_Vista,79.79,690000,3,2
Boa_Vista,149.17,950000,3,4
Boa_Vista,78,7e+05,3,2
Boa_Vista,73.15,360000,2,0
Boa_Vista,64.29,625000,2,2
Boa_Vista,75,498000,2,1
Boa_Vista,79.27,440000,2,1
Boa_Vista,73.15,475000,2,1
Boa_Vista,97.04,630000,3,2
Boa_Vista,78.65,395000,2,1
Boa_Vista,124.43,659000,3,2
Boa_Vista,41.98,367000,1,1
Boa_Vista,61.36,545000,2,1
Boa_Vista,73.53,610000,3,1
Boa_Vista,75,526660,2,1
Boa_Vista,81,639068,3,2
Boa_Vista,129,850000,3,1
Boa_Vista,37,450000,1,1
Boa_Vista,75,580000,2,1
Boa_Vista,84.34,430000,3,1
Boa_Vista,36,620000,1,1
Boa_Vista,83.16,250000,2,1
Boa_Vista,32,150000,1,0
Boa_Vista,136.15,790000,2,2
Bom_Fim,108.9,430000,3,0
Bom_Fim,78,295000,2,0
Bom_Fim,102,340000,2,0
Bom_Fim,89.7,380000,2,0
Bom_Fim,122,424000,3,0
Bom_Fim,226.79,990000,3,1
Bom_Fim,226,880000,3,1
Bom_Fim,69,254000,1,0
Bom_Fim,78,550000,2,1
Bom_Fim,69.35,290000,2,0
Bom_Fim,120,426000,3,0
Bom_Fim,73.5,272000,1,0
Bom_Fim,99.7,680000,3,1
Bom_Fim,43.72,265000,1,0
Bom_Fim,79,330000,2,0
Bom_Fim,37.42,250000,1,0
Bom_Fim,82.8,280000,2,0
Bom_Fim,100,420000,3,0
Bom_Fim,32,190000,1,0
Bom_Fim,98,580000,3,1
Bom_Fim,108.2,420000,3,0
Bom_Fim,61,425000,2,0
Bom_Fim,101,583000,3,2
Bom_Fim,111,532000,3,0
Bom_Fim,45.66,280000,1,1
Bom_Fim,137.03,4e+05,3,0
Bom_Fim,161,680000,2,1
Bom_Fim,106,320000,3,0
Bom_Fim,48,266000,1,0
Bom_Fim,148,750000,3,1
Bom_Fim,86.61,297000,3,0
Bom_Fim,28.57,190000,0,0
Bom_Fim,136,640000,3,1
Bom_Fim,127.95,450000,3,0
Bom_Fim,62.22,318000,2,0
Bom_Fim,58.6,318000,2,0
Bom_Fim,118.37,480000,3,0
Bom_Fim,45.63,310000,1,0
Bom_Fim,88.7,360000,3,0
Bom_Fim,117,840000,3,1
Bom_Fim,60,280000,2,0
Bom_Fim,226,905000,3,1
Bom_Fim,226,910000,3,1
Bom_Fim,95.49,320000,2,0
Bom_Fim,95.49,4e+05,2,0
Bom_Fim,77.41,425000,2,0
Bom_Fim,153,580000,3,2
Bom_Fim,78.32,450000,2,0
Bom_Fim,124.98,650000,3,1
Bom_Fim,105,660000,3,1
Bom_Fim,85.56,318000,3,0
Bom_Fim,142,550000,3,2
Bom_Fim,106.4,520000,3,1
Bom_Fim,108,380000,3,0
Bom_Fim,36,243000,1,1
Bom_Fim,55,485000,2,1
Bom_Fim,110.59,760000,3,2
Bom_Fim,194,740000,3,1
Bom_Fim,117.3,636000,3,2
Bom_Fim,108,299000,2,0
Bom_Fim,100,350000,3,0
Bom_Fim,114.86,742000,2,1
Bom_Fim,35.38,405132.56,1,1
Bom_Fim,103,380000,2,0
Bom_Fim,58.6,295000,2,0
Bom_Fim,92.76,640000,2,0
Bom_Fim,84.42,385000,2,0
Bom_Fim,89.7,428000,3,0
Bom_Fim,86.7,345000,1,0
Bom_Fim,63.8,265000,2,0
Bom_Fim,88.38,370000,2,0
Bom_Fim,101.01,430000,2,1
Bom_Fim,60,320000,2,0
Bom_Fim,173.6,640000,3,0
Bom_Fim,58,298000,2,0
Bom_Fim,78,380000,2,0
Bom_Fim,132,5e+05,3,0
Bom_Fim,58,240000,2,0
Bom_Fim,113,690000,3,3
Bom_Fim,83.35,340000,2,0
Bom_Fim,60.53,270000,1,0
Bom_Fim,43,365000,1,1
Bom_Fim,60,495000,2,2
Bom_Fim,68.18,375000,2,0
Bom_Fim,58,235000,2,0
Bom_Fim,44,195000,1,0
Bom_Fim,26.6,280000,1,1
Bom_Fim,37,250000,1,0
Bom_Fim,97.39,490000,3,0
Bom_Fim,58.7,350000,1,0
Bom_Fim,56.26,399000,2,1
Bom_Fim,37.4,160000,1,0
Bom_Fim,140,480000,3,0
Bom_Fim,89.5,383000,3,0
Bom_Jesus,77.54,320000,2,1
Bom_Jesus,74,299000,2,2
Bom_Jesus,73.87,250000,2,1
Bom_Jesus,61,275000,2,0
Bom_Jesus,66.94,426000,2,1
Bom_Jesus,71.3,275000,2,1
Bom_Jesus,66.94,425000,2,1
Bom_Jesus,66.94,369000,2,1
Bom_Jesus,83.43,387000,2,1
Bom_Jesus,66.94,355000,2,1
Bom_Jesus,41.28,180000,1,1
Bom_Jesus,38.5,217475.84,1,1
Bom_Jesus,60.05,235000,2,0
Bom_Jesus,41.8,155000,1,0
Bom_Jesus,42.74,220000,1,2
Bom_Jesus,60,234000,2,1
Bom_Jesus,64.13,380433,2,2
Bom_Jesus,91.34,320000,2,0
Bom_Jesus,71.3,265000,2,1
Bom_Jesus,84,380000,3,1
Bom_Jesus,42.61,125000,1,0
Bom_Jesus,40,199500,1,0
Bom_Jesus,76.04,270000,2,1
Bom_Jesus,88.45,480000,2,1
Bom_Jesus,81.42,440000,3,1
Bom_Jesus,73.62,298000,2,0
Camaqua,48.41,175000,2,1
Camaqua,88,350000,2,1
Camaqua,88,295000,2,1
Camaqua,69.84,215000,3,0
Camaqua,72.01,320000,3,1
Camaqua,56.16,280000,2,1
Camaqua,40,120000,1,0
Camaqua,37.27,180000,1,1
Camaqua,59.35,203000,2,1
Camaqua,54.63,195000,2,1
Camaqua,47.19,196000,2,0
Camaqua,49.78,175000,1,0
Camaqua,40.62,233000,1,1
Camaqua,68.92,270000,2,1
Camaqua,54.63,180000,2,0
Camaqua,77.1,275000,2,1
Camaqua,65.11,264720,1,1
Camaqua,65,212000,3,0
Camaqua,72,340000,3,1
Camaqua,56.2,245000,2,1
Camaqua,69.84,220000,3,0
Camaqua,36.18,138000,1,1
Camaqua,38.1,175000,1,0
Camaqua,61.95,299000,2,1
Camaqua,54.63,213000,2,1
Camaqua,55.75,213000,2,1
Camaqua,54.63,180000,2,1
Camaqua,69.84,351000,2,0
Camaqua,87.22,310000,2,1
Camaqua,48.44,165000,2,1
Camaqua,48,180000,1,1
Camaqua,59.74,320000,3,1
Camaqua,47.22,193000,1,1
Camaqua,69.84,240000,3,0
Camaqua,57.86,333000,1,1
Camaqua,39.52,149000,1,2
Camaqua,47.19,175000,2,0
Camaqua,48.41,208000,2,1
Camaqua,48.41,170000,2,1
Camaqua,70.93,285000,2,1
Camaqua,58.76,215000,2,1
Camaqua,69.84,190000,3,0
Cavalhada,60.51,349000,2,1
Cavalhada,46.21,170000,2,1
Cavalhada,56.17,420000,3,1
Cavalhada,46.54,229000,2,1
Cavalhada,71.02,281000,3,1
Cavalhada,46.68,165000,2,1
Cavalhada,46.28,170000,2,1
Cavalhada,68.49,260000,2,0
Cavalhada,65.32,234000,3,0
Cavalhada,41.82,186000,1,0
Cavalhada,71.48,420000,3,1
Cavalhada,65.46,170000,2,0
Cavalhada,71.02,274000,3,1
Cavalhada,46.64,285000,2,1
Cavalhada,99.7,340000,3,1
Cavalhada,46,270000,2,1
Cavalhada,46.68,170000,2,1
Cavalhada,57.37,230000,2,1
Cavalhada,71.03,310000,3,1
Cavalhada,65.32,180000,3,0
Cavalhada,57.37,220000,2,1
Cavalhada,42.44,170000,1,0
Cavalhada,53,320000,3,2
Cavalhada,42.16,180000,1,0
Cavalhada,50.66,220000,2,1
Cavalhada,66.88,265000,3,1
Cavalhada,75,225000,3,1
Cavalhada,62.76,234000,2,1
Cavalhada,64.28,234000,3,1
Cavalhada,72,270000,3,1
Cavalhada,70.6,350000,2,1
Cavalhada,50,175000,2,1
Cavalhada,61.56,230000,2,1
Cavalhada,68,340000,3,1
Cavalhada,61.88,270000,2,1
Cavalhada,71.02,320000,3,1
Cavalhada,71,285000,3,1
Cavalhada,35.45,180000,1,1
Cavalhada,48,185000,2,1
Cavalhada,35.45,180000,1,1
Cavalhada,46.64,230000,2,1
Cavalhada,69.86,278100,3,1
Cavalhada,68.81,278100,3,1
Cavalhada,69.86,283600,3,1
Cavalhada,69.86,287500,3,1
Cavalhada,69.86,289900,3,1
Cavalhada,68.81,296800,3,1
Cavalhada,69.86,281400,3,1
Cavalhada,69.86,294400,0,1
Cavalhada,69.86,296800,3,1
Cavalhada,58,290000,2,4
Cavalhada,61.17,315000,3,1
Cavalhada,67.88,2e+05,2,0
Cavalhada,61.17,315000,3,1
Cavalhada,45,270000,2,2
Cavalhada,104.61,3e+05,3,1
Cavalhada,61.48,315000,2,1
Cavalhada,71.48,415000,3,0
Cavalhada,57,4e+05,2,1
Cavalhada,71.02,310000,3,1
Cavalhada,80,283800,3,1
Cavalhada,41.82,155000,1,0
Cavalhada,46,212000,2,1
Cavalhada,38,200700,2,0
Cavalhada,60.51,360000,2,1
Cavalhada,58,235000,2,0
Cavalhada,67.88,212000,3,2
Cavalhada,66.88,225000,2,1
Cavalhada,45.88,270000,2,1
Cavalhada,65.07,223000,3,0
Cavalhada,111.27,340000,2,1
Cavalhada,39.2,150000,1,1
Cavalhada,56.81,286000,2,1
Cavalhada,53,191000,2,0
Cavalhada,46.64,238000,2,1
Cavalhada,45.88,220000,2,1
Cavalhada,71.02,320000,3,1
Cavalhada,57.2,2e+05,2,2
Cavalhada,69.86,281400,3,0
Cavalhada,69.86,289900,3,2
Cavalhada,69.86,289900,3,0
Cavalhada,69.86,275800,3,0
Cavalhada,69.86,270400,3,0
Cavalhada,69.86,296800,3,2
Cavalhada,69.86,287500,3,0
Cavalhada,69.86,283600,3,0
Cavalhada,69.86,278100,3,0
Cavalhada,69.86,272600,3,0
Cavalhada,46.28,185000,2,2
Cavalhada,69.86,270000,3,2
Cavalhada,31.8,128000,1,0
Cavalhada,46.28,165000,2,0
Cavalhada,46.28,170000,2,1
Cavalhada,70.6,277000,3,1
Cavalhada,66.88,220000,3,0
Cavalhada,46.28,160000,2,0
Cavalhada,61.17,3e+05,3,1
Cavalhada,70.6,280000,3,1
Cavalhada,61.17,321000,3,1
Cavalhada,45.88,260000,2,1
Cavalhada,46.68,158000,2,0
Cavalhada,74,210000,2,0
Cavalhada,46.64,235000,2,1
Cavalhada,69.96,3e+05,2,1
Cavalhada,46.64,218000,2,1
Cavalhada,57.71,255000,2,1
Cavalhada,74.12,280083.1,3,1
Cavalhada,65.07,212000,3,1
Cavalhada,66.88,250000,3,1
Cavalhada,70.6,425000,3,1
Cavalhada,55.25,270000,2,1
Cavalhada,56.81,270000,2,1
Cavalhada,64.28,297000,3,1
Cavalhada,71.48,420000,3,1
Cavalhada,71.48,395000,3,1
Cavalhada,71.48,420000,3,1
Cavalhada,54.15,220000,2,0
Cavalhada,46.64,285000,2,1
Cavalhada,57,390000,2,1
Cavalhada,56.81,292613,2,1
Cavalhada,71.48,360718,3,1
Cavalhada,45.88,222280,2,1
Cavalhada,61.17,293302,3,1
Cavalhada,71.02,350000,3,1
Cavalhada,57.71,275000,2,1
Cavalhada,35.45,180000,1,1
Cavalhada,41.82,180000,1,0
Cavalhada,96,175000,2,0
